Question,Category
"ek ɡoɖaka amba ɡeɖijak saha doɖam ɡeɖidekak æta. ehi mila rupijal 22ki. tavat ɡoɖaka doɖam ɡeɖi 3k saha amba ɡeɖi 2k æta. ema ɡoɖeː mila rupijal 35ki. eseːnam amba ɡeɖi 3k haː doɖam ɡeɖi 5ka mila kaiːjada? ",0
"sisuvek pæːn 1 pot 5 pænsal 2 bæɡin lamaji 40 kaʈa diːmaʈa avas‍ja pæːn ɡanana kiːjada? ",0
"paŋtijaka siʈina lamunɡen 3/5k edina paŋtijaʈa pæmina æta. paŋtijeː siʈina lamun ɡanana 15 nam nopæmini lamun ɡanana kiːjada? ",0
"varakaʈa peti 2 bæɡin dinapataː udeːʈa haː raːt‍rijaʈa behet bona ajeku dina 10 sadahaː avas‍ja behet peti ɡanana kiːjada? ",0
"maɡeː vajasa avurudu 12ki. taːttaːɡeː vajasa avurudu 36ki. maɡeː vajasa deɡunajak vanaviʈa taːttaːɡeː vajasa kiːjada? ",0
"pereːdaː 3 venidaːja. aniddaː sikuraːdaːja. ada dinaja haː davasa kumakda ",0
"4 denekuʈa saŋɡ‍raha kirimaʈa biːma boːtal ekak avas‍ja veː. 30 denekuʈa saŋɡ‍raha kiriːmaʈa biːma boːtal kiːjak avas‍ja veːda",0
"pe.va. 6.40 ʈa piʈat vuː dumrija pa.va 1.20 ʈa ɡamana avasan karaji.ɡamanaʈa ɡata vuː kaːlaja kopamaɳada?",0
"bas ratajen pæja 1 minittu 40 da dumrijen pæja 2 minittu 45 da ɡaman kaɭa ajek  ɡamanaʈa ɡata kaɭa muɭu kaːlaja kopamaɳada?",0
"pantijaka ɭamaji 40 k siʈiti.ema ɭamaji samaːna kaɳɖaːjam 5 kaʈa beduː atara ɡovidu ek kaɳɖaːjamaka saːmaːd͡ʒikajeku vana atara ema kaɳɖaːjameː naːjakajaːda veː.ohuʈa baːrVvV æti ɭVmun ɡVɳVnV kiːjVdV?",0
"ɭamajek ɭaɡa tibuː pænsal 50n ½ jaːɭuvanʈa bedaːdun atara itiri p‍ramaːɳajen 1/5 ɡurutumaːʈa dunneː nam ohu ɭaɡa itiri pænsal ɡaɳana kiːjada?",0
"doɖam ɡeɖi 1 saha amba ɡeɖi 1 mila ru 110 nam,amba ɡeɖi 1 saha ɡaslambu ɡeɖi 1 mila ru 120 nam,amba heɖi 1 saha ɡaslambuː ɡeɖi 2 ka mila ru 190 nam,doɖam ɡeɖijaka mila kiːjada?",0
"doɖam ɡeɖi 1 saha amba ɡeɖi 1 mila ru 110 nam,amba ɡeɖi 1 saha ɡaslambu ɡeɖi 1 mila ru 120 nam,amba heɖi 1 saha ɡaslambuː ɡeɖi 2 ka mila ru 190 nam,amba ɡeɖijak doɖam ɡeɖijak haː ɡaslambuː ɡeɖijak ɡæniːmaʈa avas‍ja mVudVlV kViːjVdV?",0
"peʈʈijaka tibuɳu bittara valin 2/5 k ratu bittara veː. itiri eːvaː 315 k sudu bittara veː.peʈʈijeː tibuː muɭu bittara ɡaɳana kiːjada?",0
"vibaːɡa saːlaːvakaʈa ɡena aː p‍rasna pat‍ravala aŋka anupiɭiveɭaʈa æta.ehi mul aŋkaja 0144 da avasaːna aŋkaja 0218 veː.ehi æti p‍rasna pat‍ra ɡaɳana kiːjada?",0
"dina 31 æti maːsajaka devana dinaja badaːdaː davasak nam 29 daː kumana davasakda?",0
"senuka satijeː sæːma sadudaː dinakama k‍rikaʈ puhuɳuviːm sadahaː jaji.2020-02-07 vana  daː iridaː dinajaki.eː anuva ema maːsajeː ohu k‍rikaʈ puhuɳuviːm sadahaː ɡija vaːra ɡaɳana kaiːjada?",0
"kad͡ʒu mada kiloːɡ‍ræːm 1 ka mila ru. 890 ki. siːni ɡ‍ræːm 500 ru. 68 ki. ammaː kad͡ʒu mada ɡ‍ræːm 600 siːni ɡ‍ræːm 750 ɡat viʈa ɡevija jutu mudala kiːjada?",0
"putaːɡeː bara kiloːɡ‍ræːm 13 ɡ‍ræːm 850 taːttaːɡeː bara emen tun ɡuɳajaki.taːttaːɡeː bara kopamaɳada?",0
"avuruddakaʈa dina 28,dina 30,dina 31 jedunu maːsa æta.eː anuva avuruddakaʈa 30 dinaja jeduɳu maːsa kopamaɳa tibeːda?",0
" siːni 2kg ka mila ru 216 ki.piʈi 1kg 500g ru 240 ki.siːni 1kg haː piʈi 1kg ɡat viʈa ɡevija jutu mudala kiːjada?",0
"t‍riːvilar ratajak paɭamu kiloː miːʈarajaʈa ru 50.00 da devana kiloːmiːʈarajeː siʈa væɖivana sæːma kilomiːʈarajaʈa ru 15 bæɡinda aja karaji.kiloːmiːʈar 10 ka ɡamanak sVdVhaː ajV kVrVnV mudVlV kiːjVdV?",0
"varsa 2021 diː siʈa 58 vana upan dinaja samaruː ɡoɖaɡeː mahataː sija 43 vana upandinaja samaruː varsaja kumakda?",0
"mæji 4 siʈa d͡ʒuli 8 tek æti dina ɡaɳana kiːjada?",0
" 25km kæpija jutu paːrakin 12km 850m haː 3800m kapaː æta.tava kæpiːmaʈa æti p‍ramaːɳaja kopamaɳada?",0
"maː ɭaɡa æti mudalaʈa ru 45 k væɖijen malliː ɭaɡa mudal  æta.malliː ɭaɡa æti mudalaʈa ru 185 k væɖijen naŋɡiː ɭaɡa mudal æta.malliː ɭaɡa æti mudala ru 360 k nam apa tidenaː ɭaɡama æti muɭu mudalV kiːjVdV?",0
"paː ɡamanin jana ajek pæja 3 kadiː 24km k dura ɡaman karaji.ohu vinaːɖi 15 kadiː ɡaman karana dura kopamaɳada?",0
" kuːɖuvaka haːvoː saha kukuɭan siʈiti.ema satunɡeː paːdavala muɭu ekatuva 52 ki. ehi siʈi haːvun saŋk‍jaːva 7 nam kukuɭan saŋk‍jaːva kiːjada?",0
" akilaɡeː tattaː 1995 diː v‍jaːpaːrajak aːramba karana viʈa akilaɡeː vajasa avurudu 7 ki.ema v‍jaːpaːrajaʈa avurudu 25 k pirena viʈa akilaɡeː vajasa kiːjada?",0
"paːraka navataː tibuː vaːhana 16 n aɖak moːʈar rata veː.itirijen aɖak t‍riːviːlar veː.itiri kaːr haː jaturu pædi lesa samaːnava æta.mema vaːhana vala æti muɭu roːda ɡaɳana kiːjada?",0
" potaka piʈu 108 k æta. evæni pot 4 kda, tavat potaka piʈu 213 k æti.evæni pot 6 da æti muɭu  piʈu ɡaɳana kiːjada?",0
" æpal ɡeɖi 4 ka haː ɡaslambuː ɡeɖi3 ka mila ru 620 ki.æpal ɡeɖijakaʈa vaɖaː ɡaslambuː ɡeɖijak ru 20 k mila væɖija æpal ɡeɖijaka mila kiːjada?",0
" æpal ɡeɖi 4 ka haː ɡaslambuː ɡeɖi3 ka mila ru 620 ki.æpal ɡeɖijakaʈa vaɖaː ɡaslambuː ɡeɖijak ru 20 k mila væɖija ɡaslambu ɡeɖijaka mila kiːjada?",0
"satira inimaɡaka 4 vana paʈija mata siʈiti.tava liː paʈi 5 k næɡɡa viʈa ohu ehi mæda paʈijaʈa pæmineː inimaɡeː tibena liː paʈi ɡaɳana kiːjada?",0
" meːsa hændakaʈa allana dijara p‍ramaːɳaja mili 15 ki.roːɡijekuʈa ek varakaʈa meːsa hænda bæɡin dinakaʈa tunvarak behet biːmaʈa deji. satijaka tuɭa ohu paːnaja karVnV behet p‍rVmaːɳVjV kopVmVɳVdV?",0
"28 ,63, 74 ,56, 45 ,81 mehi æti 9 ɡunaːkaːra ɡanana kiːjada? ",1
"hataɭis tun dahas aʈasijavisipaha jana saŋk‍jaːveː æti ilakkam baːvitajen livija hæki visaːlama saŋk‍jaːva kumakda",1
"peti 5 mal 5ka æti peti ɡanana roːma saŋk‍jaːven min kumakda",1
"6,3,8,0,2 mema  saŋk‍jaːva jodaːɡena sijajastaːnajaʈa 2 jodaːɡena livija hæki visaːlama saŋk‍jaːva kumakda ",1
"lamajek aŋka 1 siʈa 60 dakvaː æti saŋk‍jaː lijana viʈa ohu 5 saŋk‍jaːva kiː vataːvak lijaː tibeːda",1
" anuːhat dahas hatsija dahatuna saŋk‍jaːva ilakkam aɡa siʈa mulaʈa lijuː viʈa læbena saŋk‍jaːva kiːjada",1
"ganakajaka haː ganakaːbajaka æti siːrsa ɡananeː ekatuva kiːjada",1
"70 999 ʈa 1 k væɖi saŋk‍jaːva kumakda",1
"peʈʈijaka saban kæʈa 6bæɡin evæni peʈʈi 158 ka æti saban kæʈa ɡanana kiːjada",1
"taːttaː dumrijen pæja 3 minittu 40k da basajen pæja 2 minittu 45k da ɡaman karaji. ejaʈa ɡata vuna mulu kaːlaja kopamaɳada ",1
"ganakaːba 10k ekamata tabaː æɳa ɡæsuveː nam ema ganavastuveː æti muhunat ɡanana kiːjada? ",1
"akkaː laɡa tibuna amba valin 1/2 naŋɡiːʈa dunnaːja. naŋɡiːʈa læbuna ɡeɖi ɡanana 9 nam akkaː laɡa tibuː amba ɡeɖi p‍ramaːnaja roːma saŋk‍jaːven kumakda ",1
"23:30 jana veːlaːva saːmaːn‍ja veːlaːven kumak veːda",1
"1t 50t atara tani ilakkamin sæːduna saŋk‍jaː kiːjada",1
"samapaːda t‍rikoːnajak t͡ʃatustalajak saːdaː ɡæniːmaʈa hari mædin navaː ɡata jutu vaːra ɡanana kiːjada? ",1
"pe.va.1.35 ɖid͡ʒiʈal veːlaːven kiːjada",1
"senuka paːsal jana viʈa kusal idirijaʈa pæminijeːja. kusalɡeː muhunaʈa hiru elija væʈiː tibuniː. senuka ɡaman karanneː kumana disaːvaʈada",1
"taːttaː kiloːmiːʈara 12 miːʈara 750k basajenda iːʈa vaɖaː kiloːmiːʈara 12 miːʈar 500k væɖijen dumrijen ɡaman karajiː. ohu dumrijen ɡaman kaɭa dura kiːjada? ",1
"miːʈara 5 ji senʈimiːʈara 25k diɡa paʈijak samaːna koʈas 7kaʈa kæpuː viʈa ek koʈasaka diɡa kiːjada? ",1
"næɡenahira disaːvaʈa muhunalaː siʈina amal surd͡ʒukoːɳaːs‍rajak lesa tamanɡeː dakuɳu  ata disaːvaʈa hæreː dæn ohuɡeː vam ata æti disaːva kumakda ",1
"mallak tula boːla 50k æta. in 5 ɡunaːkaːra kiːjak nam tibeːda",1
"dumrijaka siʈi pirimi maɡiːn ɡanana1018ki. ɡæhænu maɡiːn ɡanana 936ki. ehi siʈina mulu maɡiːn ɡanana kiːjada? ",1
"bas ratajaka maɡiːhu 68k siʈijaha. ejin 19k palamu bas nævatumen bæsa ɡijeːja. tavat maɡiːn 12 denek iːlaŋɡa nævatumen basajaʈa næɡɡoːja. dæn bas ratajeː maɡiːn kiːjada?",1
"putaːɡeː bara kiloːɡ‍ræːm 19 ki. taːttaːɡeː bara kiloːɡ‍ræːm 58ki. putaːʈa vaɖaː taːttaː kopamaɳada barada",1
"kaɖajaka pol 3480k æta. in ɡeɖi 1275k vikuːnuː viʈa itirija kiːjada? ",1
"“sis‍jajeku basnaːhiraʈa muhuɳalaː siʈina viʈa ohuɡe dakuɳu ata pihiʈana pætteː paːsalada vam ata pihiʈana pætteː nivasada pihiʈaː æta”paːsala pihiʈaː ætai daisaaːva kaumakda?",1
"“sis‍jajeku basnaːhiraʈa muhuɳalaː siʈina viʈa ohuɡe dakuɳu ata pihiʈana pætteː paːsalada vam ata pihiʈana pætteː nivasada pihiʈaː æta”nivasa pihiʈaː ætai daisaaːva kaumakda?",1
"amba ɡeɖi 864k peʈʈijakaʈa 8 bæɡin dæmiːmaʈa avas‍ja peʈʈi ɡaɳana kiːjada?",1
"1 siʈa 20 tek iraʈʈeː saŋk‍jaː liviːmeːdiː ehi æti 2 n bedena saŋk‍jaː ɡaɳana kiːjada?",1
"dakuɳu disaːvaʈa hæriː siʈi tamidu aːpasu hæriː miːʈar 10 ɡaman kara  tamaːɡeː vam ata pættaʈa hæriː miːʈar 10 ɡaman kara navati.dæn tamidu siʈinneː ɡaman aramba kaɭa staːnajeː siʈa balVnV viʈV kumVnV dVisVaːvVendV?",1
" pe.va. 12.45 sammata (ɖid͡ʒiʈal) veːlaːva kumakda?",1
"pa.va. 3.45 sammata (ɖid͡ʒiʈal) veːlaːva kumakda?",1
"00:30 saːmaːn‍ja veːlaːva kumakda?",1
" 19:15 saːmaːn‍ja veːlaːva kumakda?",1
"amba ɡeɖi 816 k samaːna ɡoɖaval 4 kaʈa dæmuː viʈa ek ɡoɖaka æti amba ɡeɖi ɡaɳana kiːjada?",1
" kamiːsajakaʈa bottam 4 bæɡin ælliːmaʈa bottam 536 k ɡenaːveːja. eːvaː kamiːsa kiːjakaʈa sæːheːda?",1
" anuː haja dahas haːrasija vissaʈa tun dahas hættæː pahak ekatu kaɭa viʈa læbena piɭitura kumakda?",1
"pæɳi biːma liːʈarajakin 175 bæɡin viːduru 4 k ivat kaɭa viʈa itiri biːma p‍ramaɳaːja kopamaɳada?",1
" samat͡ʃaturas‍raːkaːra iɖamaka sæːma pættakinma bæluː viʈa kaɳu 12 k daknaʈa læbeː. mema iɖama vaʈaː æti kaɳu ɡaɳana kiːjada?",1
" maʈa jaːɭuvoː tun denek siʈiti.apa sijalu denaː ekinekaː atara eka bæɡin pænsal huvamaːru kara ɡattemu apa huvamaːru kara ɡat pænsal ɡaɳana kiːjada?",1
"samat͡ʃaturas‍raːkaːra iɖamak vaʈaː samaːna durin kambi kaɳu siʈuvaː æta.ema iɖama vaʈaː siʈuvaː æti kambi kaɳu ɡaɳana 40 nam ek pættakin bæluːviʈa penena kambi kaɳu ɡaɳana kiːjadV?",1
" 20:25 saːmaːn‍ja veːlaːva kiːjada?",1
"peʈʈijaka boːla 9 bæɡin dæmija hæka . boːla 738 k dæmiːma sadahaː avas‍ja peʈʈi ɡaɳana kiːjada?",1
" 2020 aɡoːstu   dina ɡaɳana kiːjada?",1
" 20n hataren paŋɡu dekaka aɡaja kiːjada?",1
" ganakaːbajaka æti surd͡ʒukoːɳa ɡaɳana kiːjada?",1
" 1/5 , 1/2 , 0.3 jana saŋk‍jaːvalin kuɖaːma saŋk‍jaːva kumakda?",1
"naɡara dekak atara æti dura  miːʈar 12650 ki.eja kiloːmiːʈar haː miːʈar valin dakvanna.  ",1
"pe.va.10.45 ʈa aːram     kaɭa væɖak pæja 4 minittu 35 kadiː avasan karaji.ema avasan kaɭa veːlaːva ɖid͡ʒiʈal veːlaːven dakvanna. ",1
"pol ɡeɖi 837 k ek ɡoɖakaʈa 8 baɡin ven karana ladi.ven kala ɡoɖaval ɡaɳana kiːjada?",1
"pol ɡeɖi 837 k ek ɡoɖakaʈa 8 baɡin ven karana ladi.itiri ɡeɖi ɡaɳana kijada?",1
"dehi ɡeɖi84 k samaːna ɡoɖaval 7 kaʈa ven kara æta. in ek ɡoɖaka 36 k veː. eviʈa dehi ɡeɖijaka mila kiːjada?",1
"siːni ɡoːnijeː bara 24kg 240g ki. ɡoːnijeː bara 2kg 800g nam ehi tibuː siniː vala bara kopamaɳada?",1
" pe.va 10.30 ʈa piʈat vuː bas rataja pæja 4.00  kaʈa pasu ɡamana avasan karaji.ema avasan kaɭa veːlaːva ɖid͡ʒiʈal veːlaːven dakvanna?",1
" 10+5-7= piɭituraʈa adaːɭa roːma saŋk‍jaːva kumakda?",1
"oraloːsuvaka æti pæja kaʈuva dinakaʈa oraloːsuva vaʈaː karakævena vaːra ɡaɳana kiːjada?",1
"hæʈa haja dahas hajasija hæʈa aʈa jana saŋk‍jaːve æti hajeː ilakkam ɡaɳana kiːjada?",1
" savasa paːsala æriː nivasaʈa pæmiɳena nisaːnɡeː sevaɳælla nisaːnʈa idirijen væʈiː tibuɳi.nisaːn ɡaman karana disaːva kumakda?",1
"miːʈar 5 n 5 ʈa kaɳu 50 k siʈuvaː æti maːrɡajaka diɡa kopamaɳada?",1
" ap‍rl 24 piʈat vuː næva mæji 16 ɡaman avasan karaji. ɡamanaʈa ɡatavuː dina ɡaɳana kiːjada?",1
"najaliɡeː 2 veni upan dineː siʈa sæːma upan dinakama diːma boːnikkek tæːɡi læbeː.æja ɭaɡa dænaʈa boːnikkan 5 k æta .eseː nam ɡajaliɡeː dæn vajasa kiːjada?",1
" kamkaruvek pe.va 8.30 siʈa pa.va 3.45 tek væɖa karaji.ohu væɖa kaɭa kaːlaja kopamaɳada?",1
"pa.va 3.40 ʈa ɡamana avasan kaɭa bas ratajaʈa ɡamanaʈa ɡata vuː kaːlaja pæja 5 minittu 15 ki.ɡamana aːramba kaɭa veːlaːva ɖid͡ʒiʈVl veːlaːven dVkvVnnV",1
" pereːdaː iridaː davasak nam in aniddaː davasa kumakda?",1
"pantijaka ɭamaji 92 k siʈiti. baŋkuveː vaːɖi vija hækkeː 9 denekuʈa pamaɳi . ɭamaji sijalu denaːʈama vaːɖi viːmaʈa avas‍ja  baŋku ɡaɳana kiːjada?",1
"pansaleː piŋkam utsdavaja sadudaː dinajaka aːramba viː dina 5 k pavatvaː avasan kiriːmaʈa nijamitava tibuɳi. namut d͡ʒanataːvaɡeː illiːma mata tava dina 3 k dik kVrVnV lVdV nVm ejV avVsVn vuː dVvVsV kumVkdV?",1
" malaka peti 5 k æta.evæni mal 4 ka æti peti ɡaɳana roːma saŋk‍jaːven dakvanna",1
"maɡeː upan dinaja iːjeː bava senuka pereːdaː pævasiːja. aniddaː 18 vana sadudaː nam senuka ɡeː upan dinaja kavadaːda?",1
"anuː aʈa dahas hatsija anuː navaja jana saŋk‍jaːveː ilakkam aɡa siʈa mulaʈa lijuː viʈa læbena saŋk‍jaːva kumakda?",1
"amaːliʈa potak kijaviːmaʈa pæja 2 minittu 25 k ɡata veː. æja pota kijavaː avasan kaɭeː 14:10 ʈa nam aːramba kaɭa veːlaːva kiːjada?",1
"samat͡ʃaturas‍ra 6 kin sæːdija hæki gana vastuveː æti  tiras reːkaː ɡaɳana kiːjada?",1
"iraʈu kabali 2k pamanak jodaː ɡena sæːdija hæki 20 ʈa aɖu sijaluma roːma saŋk‍jaː ɡaɳana kiːjada?",1
"2020 ap‍reːl 30 vana viʈa ema vasareː ɡeviː æti dina ɡaɳana kiːjada?",1
" 1 siʈa 100 tek saŋk‍jaː liviːmeːdiː 4 ilakkama livija jutu vaːra ɡaɳana kiːjada?",1
"ɡamanakin 1/5ka dura 4km veː. ema ɡamaneː mulu durin 1/2 ka dura kopamaɳada ",2
"peʈʈijaka æti boːla valin 1/2k kaha paːʈaja. itiru eːvaː nil haː sudu paːʈaja. eːvaː samaːna p‍ramaːna valin æta. peʈʈijeː æti mulu boːla ɡanana 64nam sudu boːla kiːjak tibeːda",2
"pættaka diɡa 8cm vana t‍rikoːnajak æta in paːda diɡa hæra samat͡ʃaturas‍rajak sæːduveː nam ehi ek paːdajaka diɡa kiːjada",2
"ajijaːɡeː vajasa avurudu 15ki. ajijaːʈa vaɖaː akkaː avurudu 4k vajasin væɖija. taːttaːɡeː vajasa akkaːɡeː vajasa men tun ɡunajaki. taːttaːɡeː vajasa kiːjada? ",2
"najaniɡeː vajasa sahanɡeː vajasaʈa vaɖaː deɡunajaʈa vaɖaː avurudu 3k væɖija. najaniɡeː vajasa avurudu 9k nam sahanɡeː vajasa kiːjada? ",2
"   minisun 4 deneku dina 5k tula ɡojam kapaː nima karaji. dina dekaktula ema væɖaja nima kiriːmaʈa jedavija jutu minisun ɡanana kiːjada?",2
"taːppajak bædiːmaʈa pedareːruvan 3n denekuʈa dina 10k ɡata veji. ejaʈa pedareːruvan 5 denekuʈa dina kiːjak ɡata vejida ",2
"   maːrɡajak adijara 3kin sæːdimaʈa tiːranaja karajiː. in palamu pijavara vanneː avurudu 4 , devana pijavara. palamu pijavara men baːɡajaki. tunvana pijavVrV devVnV pijVvVrV men deɡunVjVki.  maːrɡVjV sæːdiːmVʈV ɡVnneː 2009 d͡ʒVnVvVaːrVi 1 vVenVidVaː nVm ejV sVaːdVaː nVimV vVnnVeː kVvVdVaːdV ",2
"koɖi vælaka nil kaha ratu jana pilivelaʈa koɖi ellaː æta.ema væleː koɖi 199k æta. ehi aɖuvenma æti koɖijeː paːʈa kumakda ",2
"ajijaː saha malliːɡeː vajas vala ekatuva avurudu 35ki. ajijaː malli ʈa vaɖaː avurudu 5k væɖimalja. taːttaː loku putaːʈa vaɖaː avurudu 25k væɖimal veː nam taːttaaːɡaeː vajasa kaiːjada? ",2
